Document Title,¤¤¤å¼ÐÃD,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Research and improvement of feature words weight based on TFIDF algorithm,°ò©óTFIDFºâªkªº¯S¼xµü­«¶qªº¬ã¨s»P§ï¶i,A. Guo; T. Yang,"Qilu University of Technology, Jinan 250353, China; Qilu University of Technology, Jinan 250353, China","2016 IEEE Information Technology, Networking, Electronic and Automation Control Conference",5-Sep-16,2016,,,415,419,"With the development of cloud era, more and more people have been attracted by Big data. More and more applications involve large data. Analysis methods of large data is particularly important. This paper mainly analyzes and research feature words weight which are used in unstructured data classification of big data. Firstly, we combine the traditional feature words weight calculation method and analyze the shortcoming of traditional TF-IDF algorithm, It doesn't think about feature words distribution. It can lead that some feature words weight which don't have strong discrimination have heavier weight. Aiming at the shortage of TFIDF algorithm, combining with practical effect to text classification, this paper modify traditional TFIDF algorithm formula, excluding the inner impact to disturb characteristic, adding the concept of intra-class dispersion, presenting a new TFIDF algorithm. In the experiment, experimental data comes from People news about the financial, military, entertainment and sports four categories, respectively calculating test value by using the traditional TFIDF algorithm and improved TFIDF algorithm. Results show that improved TFIDF algorithm has higher accuracy than traditional TFIDF algorithms.",,978-1-4673-9194-8,10.1109/ITNEC.2016.7560393,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7560393,TFIDF algorithm;Text classification;Feature selection;Feature weighting,Classification algorithms;Algorithm design and analysis;Text categorization;Dispersion;Documentation;Big data;Entropy,Big Data;cloud computing;data analysis;natural language processing;pattern classification;text analysis,TFIDF algorithm;Big Data;cloud computing;data analysis methods;unstructured data classification;feature word weight calculation method;feature word distribution;text classification;intra-class dispersion,,16,,12,,5-Sep-16,,,IEEE,IEEE Conferences
Improved TFIDF weighting techniques in document Retrieval,§ï¶i¤F¤åÀÉÀË¯Á¤¤ªºTFIDF¥[Åv§Þ³N,F. Yamout; R. Lakkis,"Computer Science, Lebanese International University, Beirut, Lebanon; Computer Science, Lebanese International University, Beirut, Lebanon",2018 Thirteenth International Conference on Digital Information Management (ICDIM),26-Sep-19,2018,,,69,73,"In information retrieval, documents are usually retrieved using lexical matching which matches where words in a user's query with words found in a set of documents. A significant model used in information retrieval is the vector space model where these words are represented as a vector in space and are assigned weights using a favorite weighting technique called TFIDF (Term Frequency Inverse Document Frequency). In this thesis, we have devised three new weighting techniques to improve the TFIDF weighting technique. The first technique is Dispersed Words Weight Augmentation (DWWA) which gives more weight to the words distributed in most of the document's paragraphs; we consider that those words are more significant than words found in few paragraphs. The second technique is called Title Weight Augmentation (TWA) which gives more weight to the words found in the document's title and first paragraphs. The third technique is called First Ranked Words Weight Augmentation (FRWWA) which increments further the weight of the most frequent words in a document. We tested the three techniques, and we found more relevant documents were retrieved in our system.",,978-1-5386-5244-2,10.1109/ICDIM.2018.8847156,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8847156,Information Retrieval;TFIDF;Precision-recall,Testing;Search engines;Mathematical model;Computer science;Computational modeling;Organizations,information retrieval;pattern matching;text analysis;vectors,TFIDF weighting technique;Title Weight Augmentation;First Ranked Words Weight Augmentation;document retrieval;information retrieval;vector space model;Term Frequency Inverse Document Frequency;lexical matching;FRWWA weighting technique,,1,,11,,26-Sep-19,,,IEEE,IEEE Conferences
Text clustering based on the improved TFIDF by the iterative algorithm,°ò©ó­¡¥Nºâªkªº§ï¶iTFIDFªº¤å¥»»EÃþ,Xingheng Wang; Jun Cao; Yao Liu; Shi Gao; Xue Deng,"School of Information Science and Technology, East China Normal University, Shanghai, China; Shanghai International Studies, University Library, China; School of Information Science and Technology, East China Normal University, Shanghai, China; School of Information Science and Technology, East China Normal University, Shanghai, China; School of Information Science and Technology, East China Normal University, Shanghai, China",2012 IEEE Symposium on Electrical & Electronics Engineering (EEESYM),6-Aug-12,2012,,,140,143,"Text clustering, an important part of the machine learning and pattern recognition, has extensive applications in the field of natural language processing. In this paper, a method is given to improve the classic TFIDF algorithm on its shortcomings. This paper classifies the text through Naive Bayesian classifier. And uses the iterative algorithm to optimize the selection of feature words, and then to optimize the classification ceaselessly. Experimental results show that the algorithm has preferable efficiency in feature-select and can increase classification accuracy.",,978-1-4673-2365-9,10.1109/EEESym.2012.6258608,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6258608,TFIDF;text clustering;VSM;Naive Bayesian;iterative algorithm,Accuracy;Text categorization;Filtering,iterative methods;learning (artificial intelligence);natural language processing;pattern clustering;text analysis,text clustering;iterative algorithm;improved TFIDF algorithm;machine learning;pattern recognition;natural language processing;Naive Bayesian classifier;feature words;feature-selection,,7,,5,,6-Aug-12,,,IEEE,IEEE Conferences
An Improved TFIDF Feature Selection Algorithm Based On Information Entropy,¤@ºØ°ò©ó«H®§æiªº§ï¶iTFIDF¯S¼x¿ï¾Üºâªk,Z. Yantao; T. Jianbo; W. Jiaqin,"College of Electrical and Information Engineering, Hunan University, Changsha 410082, P. R. China; Information and Electrical Engineering College, Naval Engineering University, Wuhan 430033, P. R. China. E-mail: yantao_z@hnu.cn; College of Electrical and Information Engineering, Hunan University, Changsha 410082, P. R. China; College of Electrical and Information Engineering, Hunan University, Changsha 410082, P. R. China",2007 Chinese Control Conference,15-Oct-07,2007,,,312,315,"The quality of text feature selection affects the accuracy of text categorization greatly. Due to the deficiency of traditional TFIDF without considering the distribution of feature words among classes, the paper analyzed the TFIDF feature selection algorithm, and proposed a new TFIDF feature selection method with concept of information entropy. Experimental results show the method is valid in improving the accuracy of text categorization.",1934-1768,978-7-81124-055-9,10.1109/CHICC.2006.4346845,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4346845,words information entropy;feature selection;TFIDF;data mining,Information entropy;Frequency;Educational institutions;Text categorization;Information analysis;Algorithm design and analysis;Data mining;Mutual information,data mining;text analysis,feature selection algorithm;information entropy;text feature selection;text categorization;data mining,,1,,12,,15-Oct-07,,,IEEE,IEEE Conferences
Improvement of Text Feature Selection Method Based on TFIDF,°ò©óTFIDFªº¤å¥»¯S¼x¿ï¾Ü¤èªkªº§ï¶i,S. Qu; S. Wang; Y. Zou,"Sch. of Inf. Sci. & Eng., Univ. of Jinan, Jinan; Sch. of Inf. Sci. & Eng., Univ. of Jinan, Jinan; Sch. of Inf. Sci. & Eng., Univ. of Jinan, Jinan",2008 International Seminar on Future Information Technology and Management Engineering,9-Jan-09,2008,,,79,81,"TFIDF is a kind of common methods used to select the text feature, but it has many disadvantages. First, the method undervalues that this term can represent the characteristic of the documents of this class if it only frequently appears in the documents belongs to the same class while infrequently in the documents of the other class. Second TFIDF neglects the relations between the feature and the class. The paper proposed the improved TFIDF strategy, and combined with the text classification method of simple distance vector to compare to traditional TFIDF, and obtained the very good classified effect, the experiment proved its feasibility.",,978-0-7695-3480-0,10.1109/FITME.2008.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4746446,,Text categorization;Vocabulary;Frequency;Information management;Aggregates;Communications technology;Seminars;Information technology;Technology management;Engineering management,pattern classification;text analysis;vectors,text feature selection method;TFIDF;text classification method;distance vector,,18,,4,,9-Jan-09,,,IEEE,IEEE Conferences
A Text Feature Selection Algorithm Based on Improved TFIDF,°ò©ó§ï¶iTFIDFªº¤å¥»¯S¼x¿ï¾Üºâªk,C. Yang; X. He,"Xi'an Polytech. Univ., Xi'an; Xi'an Polytech. Univ., Xi'an",2008 Chinese Conference on Pattern Recognition,31-Oct-08,2008,,,1,4,"In Chinese text categorization system, for most classifiers using vector space model (VSM), all attributes of documents construct a high dimensional feature space. And the high dimensionality of feature space is the bottleneck of categorization. TFIDF is a kind of common methods used to measure the terms in a document. The method is easy but it doesn't consider the unbalance distribution of terms among classes. This paper analyzed the TFIDF feature selection algorithm deeply, and proposed a new TFIDF feature selection method based on Gini index theory. Experimental results show the method is valid in improving the accuracy of text categorization.",,978-1-4244-2316-3,10.1109/CCPR.2008.87,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4663040,,Text categorization;Electronic mail;Frequency;Helium;Algorithm design and analysis;Entropy;Mutual information,natural language processing;text analysis,text feature selection algorithm;Chinese text categorization system;vector space model;TFIDF feature selection method;Gini index theory,,1,,8,,31-Oct-08,,,IEEE,IEEE Conferences
A Feature Selection Method based on Improved TFIDF,°ò©ó§ï¶iTFIDFªº¯S¼x¿ï¾Ü¤èªk,W. Yong-qing; L. Pei-yu; Z. Zhen-fang,"Shandong Police college, Shandong Ji'Nan 250014, China. weiyongqing@sdpc.edu.cn; Shandong Normal University, Shandong Ji'Nan 250014, China. liupy@sdnu.edu.cn; Shandong Normal University, Shandong Ji'Nan 250014, China. zhuzhfyt@163.com",2008 Third International Conference on Pervasive Computing and Applications,13-Feb-09,2008,1,,94,97,"Feature selection is a valid method to reduce the dimension of vector in text categorization system. After analyzed several common evaluation functions for feature selection, we applied terms weight function to feature selection. A new evaluation function based on improved TFIDF method is presented; in this function the category information is introduced to feature items, and the feature items of relevant categories are selected to make up the shortcomings of the TFIDF. Experiments proved that the method is simple and feasible. It's advantageous in improving the efficiency of the selected feature subset.",,978-1-4244-2020-9,10.1109/ICPCA.2008.4783657,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4783657,,Frequency;Space technology;Text categorization;Feature extraction;Mutual information;Educational institutions;Computational complexity;Large-scale systems;Statistics;IP networks,feature extraction;text analysis;word processing,feature selection method;TFIDF;feature selection;text categorization system;evaluation function;feature subset,,2,,6,,13-Feb-09,,,IEEE,IEEE Conferences
Improved feature selection approach TFIDF in text mining,¤å¥»«õ±¸¤¤§ï¶iªº¯S¼x¿ï¾Ü¤èªkTFIDF,Li-Ping Jing; Hou-Kuan Huang; Hong-Bo Shi,"Sch. of Comput. & Inf. Technol., Northern JiaoTong Univ., Beijing, China; Sch. of Comput. & Inf. Technol., Northern JiaoTong Univ., Beijing, China; Sch. of Comput. & Inf. Technol., Northern JiaoTong Univ., Beijing, China",Proceedings. International Conference on Machine Learning and Cybernetics,19-Feb-03,2002,2,,944,946 vol.2,"This paper describes the feature selection method TFIDF (term frequency, inverse document frequency). With it, we process the data resource and set up the vector space model in order to provide a convenient data structure for text categorization. We calculate the precision of this method with the help of categorization results. According to the empirical results, we analyze its advantages and disadvantages and present a new TFIDF-based feature selection approach to improve its accuracy.",,0-7803-7508-4,10.1109/ICMLC.2002.1174522,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1174522,,Text mining;Frequency;Data mining;Text categorization;Data preprocessing;Indexing;Data structures;Learning systems;Classification algorithms;Mutual information,data mining;data structures;classification;indexing;feature extraction,term frequency;evaluation function;data structure;text categorization;vector space model;classification;TFIDF method;feature selection;text mining;inverse document frequency,,46,,8,,19-Feb-03,,,IEEE,IEEE Conferences
An Improved TFIDF Algorithm Based on Dual Parallel Adaptive Computing Model,°ò©óÂù¨Ã¦æ¦Û¾AÀ³­pºâ¼Ò«¬ªº§ï¶iTFIDFºâªk,Y. Gu; Y. Wang; J. Huan; Y. Sun; W. Jia,"ChangZhou University, School of Information Science & Engineering, Changzhou, China; ChangZhou University, School of Information Science & Engineering, Changzhou, China; ChangZhou University, School of Information Science & Engineering, Changzhou, China; ChangZhou University, School of Information Science & Engineering, Changzhou, China; Shandong Normal University, School of Information Science and Engineering, Shandong, China","2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",3-Jun-19,2018,,,657,663,"The double parallel cloud computing framework based on GPU (Graphics Processing Unit) and MapReduce is proposed, which aims at the low efficiency for the large data sets on the stand-alone by text classification algorithm, constructs the adaptive computation process of double parallel computing and combines the advantage of improved TFIDF (term frequency-inverse document frequency) algorithm, and improves TFIDF text categorization algorithm with double parallel adaptive computing. In different operating environments, the efficiency of improved TFIDF algorithm will be compared with different computing nodes. The result shows that massive data can be processed effectively in high speed by improved TFIDF algorithm which adopts double parallel adaptive computing. With the number of nodes increasing, the algorithm execution efficiency with double parallel adaptive computing is getting more and more effective.",,978-1-5386-7975-3,10.1109/Cybermatics_2018.2018.00133,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726798,Improved TFIDF Algorithm;MapReduce;GPU;Parallel Computation,Graphics processing units;Parallel processing;Task analysis;Computational modeling;Classification algorithms;Adaptation models;Instruction sets,cloud computing;graphics processing units;parallel processing;pattern classification;text analysis,text categorization algorithm;computing nodes;operating environments;double parallel computing;adaptive computation process;text classification algorithm;double parallel cloud;dual parallel adaptive computing model;algorithm execution efficiency;double parallel adaptive computing;term frequency-inverse document frequency;improved TFIDF algorithm,,1,,24,,3-Jun-19,,,IEEE,IEEE Conferences
A Image Retrieval Method Using TFIDF Based Weighting Scheme,°ò©óTFIDFªº¥[Åv¤è®×ªº¹Ï¹³ÀË¯Á¤èªk,Y. Suzuki; M. Mitsukawa; K. Kawagoe,"Coll. of Inf. Sci. & Technol., Ritsumeikan Univ., Kyoto; NA; NA",2008 19th International Workshop on Database and Expert Systems Applications,12-Sep-08,2008,,,112,116,"In this paper, we propose a retrieval method using textual information retrieval techniques, such as vector space model, for images. Many image retrieval systems are proposed. However, these systems are mainly based on pattern recognition techniques. Therefore, the features of images are also based on these recognition techniques, such as color histogram, and shape of the object in images. Generally, these systems do not consider weight of features, which means how important these features are, which are generally used in textual information retrieval systems. In this paper, we propose a method considering weight, such as TFIDF, to identify the importance degree of features. Using our proposed method, the system can retrieve intuitively similar retrieval target images to user's query images.",2378-3915,978-0-7695-3299-8,10.1109/DEXA.2008.106,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4624701,Content Based Information Retrieval;Image;Retrieval,Pixel;Feature extraction;Distance measurement;Image color analysis;Image retrieval;Earth;Zinc,image colour analysis;image recognition;image retrieval;text analysis;vectors,image retrieval method;TFIDF;weighting scheme;textual information retrieval techniques;vector space model;pattern recognition;color histogram;image querying,,6,,5,,12-Sep-08,,,IEEE,IEEE Conferences
